tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***78746,20120101,192,STAND SIGNED TRANSIT STOP,60,0000,NR,355 PARKSIDE DR,,,ON
***31670,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0001,NR,220 KING ST W,,,ON
***47870,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0001,N/S,ELM ST,W/O,ELIZABETH ST,ON
***68489,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,0001,N/S,WALTON ST,E/O,BAY ST,ON
***98802,20120101,337,PARK - ON BOULEVARD,50,0001,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***85083,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,0002,N/S,WALTON ST,E/O,BAY ST,ON
***98803,20120101,337,PARK - ON BOULEVARD,50,0002,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***08841,20120101,15,PARK - 3 M OF FIRE HYDRANT,100,0002,NR,35 THORNCLIFFE PARK DR,,,NJ
***47871,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0003,N/S,ELM ST,E/O,UNIVERSITY AVE,ON
***98804,20120101,337,PARK - ON BOULEVARD,50,0003,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***98805,20120101,337,PARK - ON BOULEVARD,50,0003,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***99287,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0003,NR,968 QUEEN ST W,,,ON
***47872,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0004,N/S,ELM ST,E/O,UNIVERSITY AVE,ON
***98806,20120101,337,PARK - ON BOULEVARD,50,0004,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***13375,20120101,192,STAND SIGNED TRANSIT STOP,60,0004,NR,193 PARKSIDE DR,,,UT
***13376,20120101,192,STAND SIGNED TRANSIT STOP,60,0005,NR,193 PARKSIDE DR,,,ON
***13377,20120101,192,STAND SIGNED TRANSIT STOP,60,0005,NR,193 PARKSIDE DR,,,ON
***98807,20120101,337,PARK - ON BOULEVARD,50,0006,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***68490,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,0007,OPP,86 GERRARD ST E,,,ON
***85084,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,0008,OPP,86 GERRARD ST E,,,ON
***98808,20120101,337,PARK - ON BOULEVARD,50,0008,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***68491,20120101,384,STOP VEH OTR THN BCYCL-BYCL LN,60,0009,NR,101 GERRARD ST E,,,GA
***86155,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0009,AT,361 FRONT ST W,,,ON
***98809,20120101,337,PARK - ON BOULEVARD,50,0009,S/S,SHEPPARD AVE E,E/O,NEILSON AVE,ON
***99288,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0009,NR,942 QUEEN ST W,,,ON
***47873,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,0010,W/S,ELIZABETH ST,N/O,EDWARD ST,ON
***47874,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0012,NR,150 ELIZABETH ST,,,ON
***68492,20120101,192,STAND SIGNED TRANSIT STOP,60,0014,W/S,PARLIAMENT ST,S/O,VERNER LANE,ON
***99289,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0014,NR,723 QUEEN ST W,,,ON
***47875,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0016,OPP,77 ELM ST,,,ON
***47876,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0017,OPP,77 ELM ST,,,ON
***86156,20120101,15,PARK 3M OF FIRE HYDRANT,100,0020,AT,361 FRONT ST W,,,ON
***99290,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0022,NR,801 KING ST W,,,ON
***08842,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0022,AT,177 REDPATH AVE,,,ON
***08843,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0023,AT,177 REDPATH AVE,,,ON
***47877,20120101,15,PARK 3M OF FIRE HYDRANT,100,0025,NR,13 ELM ST,,,ON
***99291,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0026,NR,901 KING ST W,,,ON
***08844,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0026,AT,200 ROEHAMPTON AVE,,,ON
***08845,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0026,AT,200 ROEHAMPTON AVE,,,ON
***98810,20120101,14,PARK OBSTRUCT DRIVE/LANE,40,0028,NR,11 PROTEA GDNS,,,ON
***08846,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0028,AT,200 ROEHAMPTON AVE,,,ON
***08847,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0031,AT,200 ROEHAMPTON AVE,,,ON
***94096,20120101,192,STAND SIGNED TRANSIT STOP,60,0037,NR,922 PAPE AVE,,,ON
***99292,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0039,NR,1366 DUNDAS ST W,,,ON
***47878,20120101,369,STAND STR DISABL LDG NO DROPOF,450,0041,NR,32 GRENVILLE ST,,,ON
***47879,20120101,369,STAND STR DISABL LDG NO DROPOF,450,0043,NR,18 GRENVILLE ST,,,ON
***47880,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0047,NR,7 BREADALBANE ST,,,ON
***37886,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0048,AT,735 COLLEGE ST,,,ON
***37887,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0049,AT,735 COLLEGE ST,,,ON
***86157,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0049,AT,37 GROSVENOR ST,,,ON
***08848,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0050,E/S,MOUNT PLEASANT RD,S/O,GARFIELD AVE,ON
***54745,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0051,AT,1 SCOTT ST,,,ON
***37888,20120101,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,0052,NR,178 BEATRICE ST,,,ON
***44968,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0055,OPP,168 SIMCOE ST,,,ON
***47881,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0056,NR,27 CARLTON ST,,,ON
***47882,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0058,NR,27 CARLTON ST,,,ON
***47883,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0059,NR,27 CARLTON ST,,,ON
***44969,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0103,NR,100 SIMCOE ST,,,ON
***09737,20120101,356,STAND IN DISABLED NO PERMIT,450,0110,AT,11 BRUNEL CT,,,ON
***47884,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,0111,OPP,86 GERRARD ST E,,,ON
***86158,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0111,AT,16 YONGE ST,,,ON
***78747,20120101,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,0112,NR,64 BRAEMORE GDNS,,,ON
***86159,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0112,AT,16 YONGE ST,,,ON
***95260,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0114,,794 SHEPPARD AVE,,,ON
***47885,20120101,370,PARK VEHICLE IN CAR-SHARE AREA,60,0114,NR,80 GOULD ST,,,TX
***78129,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,0114,NR,22 SOHO ST,,,ON
***86160,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0114,AT,16 YONGE ST,,,ON
***86161,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0114,AT,16 YONGE ST,,,ON
***14098,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0116,,3131 BRIDLETOWNE CIR,,,ON
***04915,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0116,,370 ORTON PARK RD,,,ON
***47886,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0117,OPP,84 BOND ST,,,ON
***86162,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0117,AT,16 YONGE ST,,,ON
***14099,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0118,,3131 BRIDLETOWNE CIR,,,ON
***44970,20120101,16,PARK 9M OF INTERSCTING HIGHWAY,40,0118,W/S,JOHN ST,S/O,STEPHANIE ST,ON
***98811,20120101,15,PARK 3 M OF FIRE HYDRANT,100,0119,NR,188 BONIS AVE,,,ON
***14100,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0120,,3131 BRIDLETOWNE CIR,,,ON
***86163,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0122,AT,16 YONGE ST,,,ON
***31671,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0123,OPP,257 QUEEN ST W,,,ON
***86164,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0123,AT,16 YONGE ST,,,ON
***99293,20120101,367,STAND ON-ST DISABL LDG NO PRMT,450,0124,OPP,410 COLLEGE ST,,,ON
***85085,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0129,NR,425 CHURCH ST,,,ON
***14773,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0130,AT,225 SHERWAY GARDENS RD,,,ON
***47887,20120101,15,PARK 3M OF FIRE HYDRANT,100,0131,W/S,COOPER ST,N/O,QUEENS QUAY E,ON
***14774,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0131,AT,225 SHERWAY GARDENS RD,,,QC
***13378,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0134,AT,15 WINDERMERE AVE,,,ON
***68493,20120101,363,PARK ON-STRT DISABLD NO PERMIT,450,0136,NR,84 CARLTON ST,,,ON
***78130,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0141,NR,369 QUEEN ST W,,,ON
***13379,20120101,192,STAND SIGNED TRANSIT STOP,60,0141,NR,91 WINDERMERE AVE,,,ON
***85086,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,0144,NR,80 CARLTON ST,,,ON
***98812,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0146,AT,135 FENELON DR,,,ON
***48074,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0156,OPP,10 LOWER JARVIS ST,,,ON
***14277,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0203,,5940 YONGE ST,,,ON
***78748,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0203,NR,2460 WESTON RD,,,ON
***13380,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0204,AT,2460 WESTON RD,,,ON
***54746,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,0205,NR,191 SHERBOURNE ST,,,ON
***54747,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,0205,NR,191 SHERBOURNE ST,,,ON
***78749,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0205,NR,2460 WESTON RD,,,ON
***31672,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0206,OPP,224 RICHMOND ST W,,,ON
***94097,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,0206,NR,1392 GERRARD ST E,,,ON
***49284,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0206,NR,298 RICHMOND ST W,,,ON
***78131,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0206,NR,208 ADELAIDE ST W,,,ON
***13381,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0206,AT,2460 WESTON RD,,,ON
***23500,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0206,NR,2460 WESTON RD,,,ON
***23501,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0206,NR,2460 WESTON RD,,,ON
***44971,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0207,NR,208 ADELAIDE ST W,,,ON
***66328,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0208,OPP,224 RICHMOND ST W,,,ON
***23502,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0208,NR,2460 WESTON RD,,,ON
***23503,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0208,NR,2460 WESTON RD,,,ON
***66329,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0209,OPP,224 RICHMOND ST W,,,NB
***44972,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0209,NR,208 ADELAIDE ST W,,,ON
***66330,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0210,OPP,224 RICHMOND ST W,,,QC
***98813,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0210,AT,2360 BIRCHMOUNT RD,,,ON
***98814,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0211,AT,2360 BIRCHMOUNT RD,,,ON
***31673,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0212,OPP,260 RICHMOND ST W,,,ON
***98815,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0212,AT,2360 BIRCHMOUNT RD,,,ON
***66331,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0213,OPP,260 RICHMOND ST W,,,ON
***98816,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0213,AT,2360 BIRCHMOUNT RD,,,IL
***98817,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0214,AT,2360 BIRCHMOUNT RD,,,ON
***98818,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0214,AT,2360 BIRCHMOUNT RD,,,ON
***14278,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0215,,5940 YONGE ST,,,ON
***14279,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0217,,5940 YONGE ST,,,ON
***98819,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0218,AT,2360 BIRCHMOUNT RD,,,ON
***98820,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0219,AT,2360 BIRCHMOUNT RD,,,ON
***54748,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0226,AT,120 HOMEWOOD AVE,,,ON
***44973,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0227,NR,360 ADELAIDE ST W,,,NY
***78132,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0227,NR,360 ADELAIDE ST W,,,ON
***86165,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0232,AT,10 NAVY WHARF CRT,,,ON
***86166,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0234,AT,35 MARINER TER,,,ON
***09738,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0235,AT,2 KENDAL AV,,,ON
***21506,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0236,,40 FALSTAFF AVE,,,ON
***86167,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0236,AT,35 MARINER TER,,,ON
***98821,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0238,AT,200 BRENYON WAY,,,ON
***86644,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0240,,2560 KINGSTON RD,,,ON
***94098,20120101,192,STAND SIGNED TRANSIT STOP,60,0241,NR,439 BROADVIEW AVE,,,ON
***66332,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,0244,NR,176 JOHN ST,,,ON
***57409,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0244,AT,33 SHEPPARD AVE E,,,ON
***88807,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0245,,230 KING ST E,,,ON
***21507,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0252,,18 DRIFTWOOD AVE,,,ON
***31674,20120101,15,PARK 3M OF FIRE HYDRANT,100,0253,OPP,234 SIMCOE ST,,,ON
***14280,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0300,,65 GEORGE APPLETONWAY,,,ON
***95261,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0300,,107 PARKWAY FOREST DR,,,ON
***14281,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0302,,65 GEORGE APPLETON WAY,,,ON
***95262,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0303,,107 PARKWAY FOREST DR,,,ON
***68494,20120101,363,PARK ON-STRT DISABLD NO PERMIT,450,0303,S/S,DUNDAS ST E,W/O,ASHDALE AVE,ON
***14282,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0304,,65 GEORGE APPLETON WAY,,,ON
***14283,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0306,,65 GEORGE APPLETON WAY,,,ON
***95263,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0306,,107 PARKWAY FOREST DR,,,ON
***14284,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0308,,65 GEORGE APPLETON WAY,,,ON
***98822,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0308,AT,3380 EGLINTON AVE E,,,ON
***95264,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0309,,107 PARKWAY FOREST DR,,,ON
***98823,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0309,AT,3380 EGLINTON AVE E,,,ON
***40304,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0310,,155 MARLEE,,,ON
***94099,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0310,AT,88 CORPORATE DR,,,ON
***95265,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0311,,107 PARKWAY FOREST DR,,,ON
***94100,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0311,AT,88 CORPORATE DR,,,ON
***98824,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0311,AT,3380 EGLINTON AVE E,,,ON
***94101,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0312,AT,88 CORPORATE DR,,,ON
***14285,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0314,,65 GEORGE APPLETON WAY,,,ON
***95266,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0315,,107 PARKWAY FOREST DR,,,VA
***94102,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0315,AT,88 CORPORATE DR,,,ON
***68495,20120101,363,PARK ON-STRT DISABLD NO PERMIT,450,0315,NR,224 COSBURN AVE,,,SK
***14286,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0316,,65 GEORGE APPLETON WAY,,,AZ
***94103,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0318,AT,88 CORPORATE DR,,,ON
***14287,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0319,,65 GEORGE APPLETON WAY,,,ON
***94104,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0319,AT,88 CORPORATE DR,,,ON
***94105,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0320,AT,88 CORPORATE DR,,,ON
***14288,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0321,,65 GEORGE APPLETON WAY,,,ON
***94106,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0321,AT,88 CORPORATE DR,,,ON
***94107,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0322,AT,88 CORPORATE DR,,,ON
***92333,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0325,AT,4645 JANE ST,,,ON
***92334,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0326,AT,4645 JANE ST,,,ON
***92335,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0327,AT,4645 JANE ST,,,ON
***92336,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0328,AT,4673 JANE ST,,,ON
***92337,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0328,AT,4673 JANE ST,,,ON
***31675,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,0329,NR,40 PHOEBE ST,,,ON
***66333,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,0329,NR,40 PHOEBE ST,,,ON
***92338,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0329,AT,4673 JANE ST,,,ON
***31676,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,0330,NR,40 PHOEBE ST,,,ON
***92339,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0330,AT,4673 JANE ST,,,ON
***57410,20120101,14,PARK OBSTRUCT DRIVEWAY/LANEWAY,40,0330,AT,6347 YONGE ST,,,ON
***66334,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,0331,NR,30 PHOEBE ST,,,ON
***92340,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0331,AT,4673 JANE ST,,,ON
***92341,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0331,AT,4673 JANE ST,,,ON
***94108,20120101,8,STAND VEH HWY PRO TIMES/DAYS,60,0332,NR,78 CORPORATE DR,,,ON
***92342,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0332,AT,4673 JANE ST,,,ON
***92343,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0333,AT,4689 JANE ST,,,ON
***94109,20120101,8,STAND VEH HWY PRO TIMES/DAYS,60,0334,NR,80 CORPORATE DR,,,ON
***92344,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0334,AT,4689 JANE ST,,,ON
***66335,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0335,NR,50 STEPHANIE ST,,,ON
***37889,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0343,NR,1242 DUFFERIN ST,,,ON
***99294,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0347,AT,628 FLEET ST,,,NY
***57411,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0348,AT,8 HILLCREST AVE,,,ON
***57412,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0350,AT,8 HILLCREST AVE,,,ON
***99295,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0350,AT,628 FLEET ST,,,QC
***54749,20120101,192,STAND SIGNED TRANSIT STOP,60,0351,NR,189 CARLTON ST,,,ON
***37890,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0352,NR,657 BLOOR ST W,,,ON
***37891,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0352,NR,665 BLOOR ST W,,,ON
***13382,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0352,AT,15 WINDERMERE AVE,,,ON
***13383,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0353,AT,15 WINDERMERE AVE,,,ON
***99296,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0354,AT,628 FLEET ST,,,ON
***13384,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0354,AT,15 WINDERMERE AVE,,,ON
***13385,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0355,AT,15 WINDERMERE AVE,,,ON
***13386,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0357,AT,15 WINDERMERE AVE,,,ON
***13387,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0357,AT,15 WINDERMERE AVE,,,ON
***91250,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0359,AT,21 CARLTON ST,,,ON
***98825,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0359,AT,75 SILVER SPRINGS BLVD,,,ON
***13388,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0359,AT,15 WINDERMERE AVE,,,ON
***57413,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0400,AT,18 SPRING GARDEN AVE,,,ON
***13389,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0400,AT,15 WINDERMERE AVE,,,ON
***13390,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0401,AT,15 WINDERMERE AVE,,,ON
***37892,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0402,NR,1022 DUNDAS ST W,,,ON
***99297,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0402,NR,90 STADIUM RD,,,ON
***13391,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0402,AT,15 WINDERMERE AVE,,,ON
***98826,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0403,AT,75 SILVER SPRINGS BLVD,,,ON
***13392,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0403,AT,15 WINDERMERE AVE,,,ON
***99298,20120101,5,PARK HWY PROHIBED TIME/DAY,40,0404,NR,90 STADIUM RD,,,ON
***13393,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0404,AT,15 WINDERMERE AVE,,,ON
***95267,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0410,,18 WELSFORD GDNS,,,ON
***99299,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0415,AT,38 DAN LECKIE WAY,,,ON
***99300,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0416,AT,38 DAN LECKIE WAY,,,ON
***99301,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0417,AT,38 DAN LECKIE WAY,,,ON
***99302,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0418,AT,38 DAN LECKIE WAY,,,ON
***95268,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0419,,250 CASSANDRA BLVD,,,ON
***99303,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0419,AT,38 DAN LECKIE WAY,,,ON
***99304,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0420,AT,38 DAN LECKIE WAY,,,ON
***99305,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0421,AT,38 DAN LECKIE WAY,,,ON
***98827,20120101,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,0422,NR,25 DURNESS AVE,,,ON
***99306,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0422,AT,38 DAN LECKIE WAY,,,ON
***99307,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0422,AT,38 DAN LECKIE WAY,,,ON
***29757,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0425,,2240 WESTON RD,,,ON
***29758,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0425,,2240 WESTON RD,,,ON
***95269,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0425,,250 CASSANDRA BLVD,,,ON
***95270,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0430,,250 CASSANDRA BLVD,,,ON
***94110,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0432,NR,197 KINGSTON RD,,,ON
***92345,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0432,AT,18 SAN MARINOWAY,,,ON
***92346,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0432,AT,18 SAN MARINOWAY,,,ON
***92347,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0433,AT,18 SAN MARINOWAY,,,ON
***91251,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0433,AT,123 EGLINTON AVE E,,,ON
***92348,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0434,AT,18 SAN MARINOWAY,,,ON
